name,lat,lon
Melbourne Aquarium / Flinders Street,-37.82023778673241, 144.95786314283018
Spencer Street / Flinders Street,-37.82097269970027, 144.95546153614245
The Goods Shed / Wurundjeri Way,-37.82190465062153, 144.95109855638137
William Street / La Trobe Street,-37.811771476718356, 144.95644059700524
Queen Street / La Trobe Street,-37.81105928060848, 144.95891745116262
Swanston Street / La Trobe Street,-37.80961884837298, 144.96384957029932
Russell Street / La Trobe Street,-37.808876998255194, 144.96634474519394
Parliament / Collins Street,-37.81358116790275, 144.97406360491075
Swanston Street / Flinders Street,-37.8176316450406, 144.96690455927876
Elizabeth Street / Flinders Street,-37.818324403770184, 144.964479208357
Docklands Park / Harbour Esplanade,-37.82215722680455, 144.94773306350976
Bourke Street / Harbour Esplanade,-37.81865571347738, 144.94650837136655
Waterfront City / Docklands Drive,-37.814464564872125, 144.938645561825
Spencer Street / La Trobe Street,-37.8131808636857, 144.95149406686252
Elizabeth Street / La Trobe Street,-37.810354377085794, 144.96136850025573
Victoria Street / La Trobe Street,-37.80760292962929, 144.97070054175296
Nicholson Street / Victoria Parade,-37.80801062631204, 144.9731036500197
Albert Street / Nicholson Street,-37.80956201428191, 144.97291405751537
Russell Street / Flinders Street,-37.81667338583987, 144.97015587085124
Market Street / Flinders Street,-37.81922319307822, 144.9614014008424
Victoria Police Centre / Flinders Street,-37.821539117626855, 144.95356912978238
Central Pier / Harbour Esplanade,-37.815426586135686, 144.94512063442602
New Quay Promenade / Docklands Drive,-37.813414856197724, 144.94137823870162
Etihad Statium / La Trobe Street,-37.814591782869805, 144.94655055842398
King Street / La Trobe Street,-37.812487918072826, 144.95393532833103
Exhibition Street / La Trobe Street,-37.8081489607039, 144.96879323779422
Spring Street / Flinders Street,-37.81538859129167, 144.97453393804187
Exhibition Street / Flinders Street,-37.81614537491179, 144.97196946163052
